"parent","ent_id","level_3"
biometric measurement,computed tomography,research method
product review,Amazon review,research method
digital trace data,forums posting,research method
case study,multiple case study,research method
case study,pilot case study,research method
action research,participatory action research,research method
design science evaluation,usability testing,research method
usability testing,cognitive walkthrough,research method
ethnography,netnography,research method
ethnography,contextual inquiry,research method
ethnography,documentary method,research method
archival research,company material,research method
nominal group technique,nominal focus group,research method
construct validity,discriminant validity,validity
experimental validity,internal validity,validity
external validity,ecological validity,validity
one validity,logical validity,validity
validity,two validities,validity
validity,common-method variance,validity
,entity,""
domain specific entity,study object,study object
outsourcing,offshoring,IS topic
outsourcing,nearshoring,IS topic
IS sourcing,insourcing,IS topic
IT security category,cybersecurity awareness,IS topic
IT security category,information security risk,IS topic
scareware,rogue security software,IS topic
technical IT security defense,corporate network security,IS topic
technical IT security defense,digital forensics,IS topic
technical IT security defense,endpoint security,IS topic
data loss prevention system,intrusion detection system,IS topic
access control,authorization,IS topic
electronic authentication,physical electronic authorization device,IS topic
technical IT security defense,differential privacy,IS topic
public key encryption,public key infrastructure,IS topic
privacy,information privacy concern,IS topic
EU data protection law,General Data Protection Regulation,IS topic
enterprise architecture framework,Zachman framework,IS topic
societal context,social norm,IS topic
societal challenge,environmental sustainability,IS topic
environmental sustainability,climate change,IS topic
financial law,Capital Requirements Directive,IS topic
financial law,Volcker Rule,IS topic
legal context,copyright law,IS topic
organizational context,business topic,IS topic
business function,auditing function,IS topic
marketing management,viral marketing,IS topic
business function,supply chain management,IS topic
enabling capability,organizational commitment,IS topic
organizational context,individual characteristic,IS topic
individual characteristic,social influence,IS topic
individual characteristic,social identity,IS topic
individual characteristic,self efficacy,IS topic
task complexity,task uncertainty,IS topic
knowledge work,decision making,IS topic
evaluation criteria,societal evaluation criteria,IS topic
societal evaluation criteria,economic surplus,IS topic
economic surplus,consumer surplus,IS topic
economic surplus,producer surplus,IS topic
business evaluation criteria,service quality,IS topic
evaluation criteria,IS evaluation criteria,IS topic
IS evaluation criteria,IS agility,IS topic
IS evaluation criteria,IS maturity,IS topic
data quality,timeliness of data,IS topic
data quality,data completeness,IS topic
ease of use,perceived ease of use,IS topic
technology adoption,technology diffusion,IS topic
IS impact,team impact,IS topic
IS impact,IS success,IS topic
IS satisfaction,IS implementation success,IS topic
IS impact,IS problem,IS topic
IS problem,unintended consequence,IS topic
productivity,task productivity,IS topic
productivity,individual productivity,IS topic
productivity,organizational productivity,IS topic
knowledge management,knowledge creation,IS topic
knowledge management,knowledge acquisition,IS topic
digital economy,digital divide,IS topic
digital business,digital platform,IS topic
digital platform,platform work,IS topic
platform work site,TaskRabbit,IS topic
platform work site,Fiverr,IS topic
platform work site,Toptal,IS topic
user interface,graphical user interface,IS topic
user interface,composite user interface,IS topic
human computer interaction,affordance,IS topic
system development method,human centered design,IS topic
human centered design,design thinking,IS topic
system development method,spiral development model,IS topic
system development method,V model,IS topic
systems development,systems implementation,IS topic
systems development,systems analysis,IS topic
system testing,unit testing,IS topic
systems development,systems documentation,IS topic
IT investment,asset specificity,IS topic
information management,information lifecycle management,IS topic
intellectual property,copyright,IS topic
IT job category,IT manager,IS topic
IT workforce,IT work,IS topic
IS research,IS research agenda,IS topic
positivism,logical positivism,research paradigm
research paradigm,post positivism,research paradigm
phenomenology,Martin Heidegger,research paradigm
social subjectivist paradigm,social epistemology,research paradigm
model,taxonomy,model
theoretical model,proto theory,model
theoretical model,domain theory,model
model,model element,model
model element,item scale,model
variable,moderating variable,model
model part,structural model,model
theoretical link,causal link,model
theoretical link,mediating effect,model
research hypothesis,numbered hypothesis,model
geographic names,Europe,geographic names
United Kingdom,Northern Ireland,geographic names
Germany,Hamburg,geographic names
Hesse,Frankfurt (Main),geographic names
Germany,East Germany,geographic names
Switzerland,Bern,geographic names
Switzerland,Neuchatel,geographic names
Switzerland,Uri,geographic names
western europe,Belgium,geographic names
Eastern Europe,Ukraine,geographic names
southern europe,Spain,geographic names
Europe,southeastern europe,geographic names
southeastern europe,Yugoslavia (until 1990),geographic names
west asia,Bahrain,geographic names
west asia,Kuwait,geographic names
west asia,Turkey,geographic names
west asia,Ottoman Empire,geographic names
west asia,United Arab Emirates,geographic names
central asia,Kyrgyzstan,geographic names
central asia,Tajikistan,geographic names
central asia,Mongolia,geographic names
China,Macau,geographic names
east asia,Korea,geographic names
South Asia,India,geographic names
East Africa,Seychelles,geographic names
East Africa,Uganda,geographic names
East Africa,Burundi,geographic names
North Africa,Sudan,geographic names
North Africa,Egypt,geographic names
West Africa,Cote d'Ivoire,geographic names
West Africa,Mali,geographic names
West Africa,Mauritania,geographic names
West Africa,Nigeria,geographic names
Central Africa,Central African Republic,geographic names
America,Central America,geographic names
Central America,Bahamas,geographic names
Central America,Costa Rica,geographic names
Central America,Dominica,geographic names
Central America,El Salvador,geographic names
Central America,Nicaragua,geographic names
Pennsylvania,Philadelphia,geographic names
Georgia,Atlanta,geographic names
United States,Michigan,geographic names
North America,Canada,geographic names
South America,Argentina,geographic names
South America,Guyana,geographic names
South America,Venezuela,geographic names
Oceania,Micronesia,geographic names
Oceania,Papua New Guinea,geographic names
regulatory agency,Securities and Exchange Commission,economic sector
nonmetallic minerals manufacturing,construction materials industry,economic sector
forest industry,pulp and paper industry,economic sector
machinery industry and plant construction,machinery market,economic sector
chemical industry,synthetic fibre industry,economic sector
vehicle industry,automotive industry,economic sector
manufacturing industry,metal industry,economic sector
non-ferrous metals industry,copper industry,economic sector
textile and clothing industry,silk industry,economic sector
textile industry,yarn industry,economic sector
electrical and electronics industry,electronics and computer industry,economic sector
telecommunications industry,internet service provider,economic sector
electrical and electronics industry,electrical industry,economic sector
beverage industry,spirits industry,economic sector
meat industry,meat processing industry,economic sector
food industry,sugar industry,economic sector
food industry,coffee sector,economic sector
food industry,tea industry,economic sector
economic sector,agriculture,economic sector
consumer products distribution,sporting goods industry,economic sector
consumer products distribution,press distribution,economic sector
food trade,fruit and vegetable trading,economic sector
trade sector,wholesale trade,economic sector
bourses and securities trading,rating agency,economic sector
bourses and securities trading,stockbroker,economic sector
betting industry,casino,economic sector
economic sector,hire and leasing industry,economic sector
leasing industry,car leasing industry,economic sector
tourism industry,urban tourism,economic sector
tourism industry,cruise ship,economic sector
tourism industry,ecotourism,economic sector
tourism industry,tourism marketing,economic sector
banking industry,savings bank,economic sector
building construction,residential construction,economic sector
underground construction,hydraulic engineering,economic sector
underground construction,piping construction,economic sector
economic sector,transport sector,economic sector
transport sector,shipping company,economic sector
transport sector,port management,economic sector
postal and courier service,postal sector,economic sector
postal and courier service,courier service,economic sector
event sector,trade fair marketing,economic sector
hospitality industry,hotel industry,economic sector
media industry,film industry,economic sector
film industry,film production,economic sector
broadcasting industry,television industry,economic sector
music industry,music production,economic sector
economic sector,public utility sector,economic sector
small and mid-size enterprise,mid-size enterprise,study object
company type,startup,study object
participant,individual participant,study object
crowdsourcing of participant,SurveyMonkey Audience,study object
level of analysis,meso level,level of analysis
micro level,group level,level of analysis
named theory,life sciences theory,named theory
psychological theory,information integration theory,named theory
fear appeal theory,extended parallel process model,named theory
self determination theory,causality orientations theory,named theory
self determination theory,basic needs theory,named theory
personality theory,theory of psychological types,named theory
theory of human memory,multi-store model of memory,named theory
creativity theory,"4Ps model of creativity",named theory
social psychology theory,identity theory,named theory
social psychology theory,uncertainty reduction theory,named theory
social psychology theory,Lacanian theory,named theory
psychological theory,terror management theory,named theory
cognitive theory,cognitive complexity theory,named theory
mental model theory,theory of shared mental models,named theory
cognitive theory,consciousness theory,named theory
consciousness theory,attention schema theory,named theory
consciousness theory,Damasio's theory of consciousness,named theory
cognitive theory,metacognition theory,named theory
cognitive theory,theory of intelligence,named theory
theory of intelligence,triarchic theory of intelligence,named theory
cognitive theory,prototype theory,named theory
cognitive theory,schema theory,named theory
health behaviour theory,health behaviour internalisation model,named theory
health behaviour theory,health promotion model,named theory
sociological theory,action theory,named theory
sociological theory,social impact theory,named theory
sociological theory,social capital theory,named theory
sociological theory,belief action outcome model,named theory
sociological theory,symbolic interaction theory,named theory
sociological theory,theory of unintended consequences,named theory
gender theory,individual differences theory of gender,named theory
sociological theory,science and technology studies theory,named theory
macroeconomic theory,theory of economic cycles,named theory
macroeconomic theory,theory of economic bubbles,named theory
macroeconomic theory,theory of economic depressions,named theory
economic theory of value,cost-of-production theory of value,named theory
economic theory of value,power theory of value,named theory
economic theory of value,subjective theory of value,named theory
economic theory,utility theory,named theory
public choice theory,social choice theory,named theory
economic theory,social exchange theory,named theory
economic theory,resource theory of social exchange,named theory
prospect theory,loss aversion,named theory
prospect theory,rank-dependent utility theory,named theory
theory of resistance,interaction theory of resistance,named theory
general systems theory,bifurcation theory,named theory
computer science theory,information theory,named theory
information theory,signal detection theory,named theory
justice theory,distributive justice theory,named theory
theory of intentionality,phenomenal intentionality theory,named theory
information systems theory,theory of digital objects,named theory
information systems theory,soft systems theory,named theory
information systems theory,theory of user participation in information systems development,named theory
criminal theory,neutralization theory,named theory
criminal theory,general theory of crime,named theory
management theory,internationalization theory,named theory
management theory,job engagement theory,named theory
organizational learning theory,learning organisation theory,named theory
organizational theory,compliance theory of organizations,named theory
organizational theory,organizational control theory,named theory
organizational theory,organizational justice theory,named theory
organizational theory,organizational role theory,named theory
theory of administrative behaviour,theory of bounded rationality,named theory
management theory,absorptive capacity theory,named theory
media theory,media capacity theory,named theory
communication theory,linguistics theory,named theory
communication theory,discourse theory,named theory
communication theory,language action perspective,named theory
communication theory,interpersonal deception theory,named theory
communication theory,difference theory,named theory
engineering theory,CPM / PDD model,named theory
engineering theory,failure mode and effects analysis,named theory
named design theory,theory of design fixation,named theory
named design theory,theory of value in design,named theory
named design theory,theory of meaning,named theory
named design theory,robust design applicability model,named theory
named design theory,theory of artefacts,named theory
prior study,state of the art,research stage
replication study,registered replication study,research stage
research stage,future research,research stage
methodological entity,data analysis method,data analysis method
QDA software,CATMA,data analysis method
QDA software,Provalis,data analysis method
QDA software,ATLASti,data analysis method
QDA software,XSight,data analysis method
qualitative analysis,configurational comparative method,data analysis method
qualitative analysis,triangulation,data analysis method
qualitative analysis,qualitative content analysis,data analysis method
qualitative content analysis,linguistic analysis,data analysis method
qualitative content analysis,social semiotic,data analysis method
quantitative analysis tool,SAS,data analysis method
quantitative analysis tool,Winbugs,data analysis method
quantitative analysis tool,Databricks,data analysis method
quantitative analysis tool,Wolfram Research,data analysis method
quantitative analysis,machine learning,data analysis method
deep learning,self organizing map,data analysis method
deep learning,residual neural network,data analysis method
language model,large language model,data analysis method
language model,BERT,data analysis method
language model,DistilBERT,data analysis method
language model,UniLM,data analysis method
language model,Text-to-Text Transfer Transformer,data analysis method
transformer model,text-to-image model,data analysis method
transformer model,text-to-3d model,data analysis method
classification method,binary classification,data analysis method
classification method,k-nearest neighbor,data analysis method
classification method,meta learning,data analysis method
ensemble learning,boosting method,data analysis method
gradient boosting,ECBoost,data analysis method
gradient boosting,LPBoost,data analysis method
cluster analysis,distribution-based clustering,data analysis method
machine learning application,image processing,data analysis method
computer vision tool,OpenCV,data analysis method
natural language processing,NLP method,data analysis method
NLP method,latent semantic analysis,data analysis method
NLP tool,GATE,data analysis method
NLP application,ontology extraction,data analysis method
quantitative analysis,spatial analysis,data analysis method
spatial analysis,spatial autocorrelation statistic,data analysis method
initial data analysis,exploratory data analysis,data analysis method
quantitative analysis,extreme value analysis,data analysis method
quantitative analysis,probabilistic graphical model,data analysis method
network analysis,narrative network analysis,data analysis method
link analysis,web link analysis,data analysis method
time series analysis,moving average model,data analysis method
time series analysis,autoregressive moving average model,data analysis method
autoregressive integrated moving average,autoregressive fractionally integrated moving average,data analysis method
time series analysis,coherence analysis,data analysis method
time series analysis,Dickey-Fuller-test,data analysis method
causality analysis,treatment effect analysis,data analysis method
causality analysis,principal stratification,data analysis method
causality analysis,regression discontinuity design,data analysis method
multivariate statistics,multidimensional scaling,data analysis method
partial least squares discriminant analysis,PLS DA,data analysis method
linear regression analysis,multiple linear regression,data analysis method
regression analysis method,principal component regression,data analysis method
probit regression,multinomial probit regression,data analysis method
regression analysis method,logistic regression,data analysis method
regression analysis method,Poisson regression,data analysis method
quantitative analysis,log linear analysis,data analysis method
G theory tool,urGENOVA,data analysis method
Student's t-test,paired t-test,data analysis method
statistical hypothesis test,Wald test,data analysis method
Pearson's chi-squared test,Yate's corrected chi squared test,data analysis method
statistical hypothesis test,between group comparison statistical test,data analysis method
post-hoc analysis,least significance different test,data analysis method
post-hoc analysis,Dunnett's test,data analysis method
between group comparison statistical test,Yuen t-Test with trimmed means,data analysis method
statistical test assumption,homoskedasticity test,data analysis method
homoskedasticity test,Barlett's test,data analysis method
homoskedasticity test,White test,data analysis method
sampling,non probabilistic sampling,sampling
non probabilistic sampling,quota sampling,sampling
oversampling,ADASYN,sampling
enterprise application integration,service oriented architecture,IS technology
analytical information system,competitive intelligence,IS technology
analytical information system,marketing intelligence,IS technology
analytical information system,artificial intelligence,IS technology
artificial intelligence,responsible artificial intelligence,IS technology
generative AI,AI art,IS technology
explainable artificial intelligence,algorithmic transparency,IS technology
artificial intelligence,vehicular automation,IS technology
artificial intelligence,human AI collaboration,IS technology
human AI collaboration,human in the loop,IS technology
artificial intelligence,expert system,IS technology
automated reasoning,rule-based deduction,IS technology
recommender system,content-based filtering,IS technology
operational information system,service-support information system,IS technology
operational information system,enterprise resource planning,IS technology
enterprise resource planning,ERP software package,IS technology
ERP software package,SAP R/2,IS technology
ERP software package,Oracle E-Business,IS technology
manufacturing information system,industrial artificial intelligence,IS technology
manufacturing information system,process development execution systems,IS technology
office information system,spreadsheet,IS technology
content management system,digital asset management,IS technology
collaborative authoring,wiki,IS technology
business process management system,process automation system,IS technology
group decision support system,electronic brainstorming,IS technology
online lending,peer-to-peer lending,IS technology
electronic payment,mobile payment,IS technology
healthcare data,electronic health record,IS technology
health information system,electronic health,IS technology
mobile health,mobile fitness app,IS technology
smart device,embedded system,IS technology
mobile phone,smartphone,IS technology
mobile system,mobile platform,IS technology
location based service,global navigation satellite system,IS technology
online marketing,search engine optimization,IS technology
online marketing,online advertising,IS technology
online advertising,search engine marketing,IS technology
social media,enterprise social media,IS technology
social media site,Orkut,IS technology
social media site,Tumblr,IS technology
social media site,Tencent QQ,IS technology
social media,blog,IS technology
blog,microblog,IS technology
digital entertainment,video game,IS technology
digital entertainment,digital news,IS technology
ebook,ebook platform,IS technology
music streaming provider,iHeartRadio,IS technology
online porn provider,Pornhub,IS technology
extended reality,augmented reality,IS technology
information system type,persuasive information system,IS technology
information technology infrastructure,computer hardware,IS technology
non volatile memory,hard disk drive,IS technology
flash memory device,solid-state drive,IS technology
non volatile memory,non-volatile random-access memory,IS technology
computer hardware,computer graphic,IS technology
low level language,machine language,IS technology
programming language,general-purpose programming language,IS technology
general-purpose programming language,BASIC,IS technology
general-purpose programming language,Haskell,IS technology
general-purpose programming language,JavaScript,IS technology
internet technology,information superhighway,IS technology
wireless computer network,radio frequency identification,IS technology
online chat,MSN Messenger,IS technology
online chat,internet relay chat,IS technology
communication service infrastructure,facsimile transmission,IS technology
communication service infrastructure,telephone,IS technology
distributed system,parallel computing,IS technology
distributed computing,grid computing,IS technology
peer-to-peer file sharing,eDonkey Network,IS technology
cloud computing,software as a service,IS technology
virtualization software vendors,Docker,IS technology
virtualization software vendors,Kernel-based Virtual Machine,IS technology
virtualization technology,container orchestration,IS technology
web search engine,Lycos,IS technology
relational database,Microsoft SQL server database,IS technology
wide-column store,Cassandra,IS technology
wide-column store,Google BigTable,IS technology
document database,MongoDB,IS technology
distributed ledger technology,Hyperledger,IS technology
tokenomics,initial coin offering,IS technology
cryptocurrency,stablecoin,IS technology
literature database,EBSCO,research method
literature database,WorldCat,research method
Web of Science Core Collection,Social Sciences Citation Index,research method
Web of Science Core Collection,Social Science & Humanities,research method
academic journal list,AIS senior scholars' basket of journals,research method
individual IS journal,Information Systems Journal,research method
literature study,journal ranking,research method
Markov model,Markov decision process,research method
optimization model,linear optimization,research method
integer linear programming,binary integer linear programming,research method
combinatorial optimization,vehicle routing problem,research method
multiple criteria decision making,aggregated indices randomization method,research method
design science,design principle,research method
design science,design framework,research method
design science,design guideline,research method
conceptual modelling,reference modelling,research method
business process modeling,business process modeling language,research method
business process modeling language,business process model and notation,research method
business process modeling,advanced case management,research method
ontological modelling,existing ontologies,research method
existing ontologies,unified foundational ontology,research method
existing ontologies,DBpedia,research method
statistical metric,descriptive statistic score,statistical metric
statistical correlation,correlation coefficient,statistical metric
correlation coefficient,rank correlation coefficient,statistical metric
point estimation performance score,mean absolute percent error,statistical metric
point estimation performance score,mean integrated squared error,statistical metric
statistical metric,degrees of freedom,statistical metric
statistical metric,goodness of fit index,statistical metric
goodness of fit index,comparative fit index,statistical metric
statistical metric,Cohen's h,statistical metric
Kuder–Richardson formulas,Kuder–Richardson formulas 21,statistical metric
statistical significance result,statistical significance,statistical metric
effect size,variance explained,statistical metric
centrality measure,eigenvector centrality,statistical metric
empirical quantitative method,experiment,research method
experiment,cross sectional experiment,research method
screening design,Plackett-Burman design,research method
experimental design,experimental task,research method
survey,longitudinal survey,research method
survey design,question appraisal system,research method
neurophysiology,functional neuroimaging,research method
biometric measurement,oculometry,research method
case control study,interrupted time series design,research method
quasi experiment,nonequivalent control groups design,research method
digital trace data,usage data,research method
ethnography,field study,research method
ethnography,cultural probe,research method
archival research,desk research,research method
public company material,financial report,research method
archival database,financial archival database,research method
group interview,focus group,research method
data collection method,time horizon of research,research method
test validity,criterion validity,validity
one validity,diagnostic validity,validity
entity,theoretical entity,""
switching cost,vendor lock-in,IS topic
computer crime,darknet,IS topic
darknet,Tor browser,IS topic
IT security category,cybersecurity behavior,IS topic
IT security category,year 2000 date conversion,IS topic
phishing,page hijacking,IS topic
IT security threat,technical support scam,IS topic
IT security threat,spamming,IS topic
IT security threat,SQL injection,IS topic
IT security threat,data breach,IS topic
technical IT security defense,disaster recovery,IS topic
technical IT security defense,backup,IS topic
technical IT security defense,access control,IS topic
password,one-time password,IS topic
smart card,SIM card,IS topic
technical IT security defense,physical security,IS topic
symmetric-key encryption,Advanced Encryption Standard,IS topic
cryptographic hash function,SHA-3,IS topic
cryptographic hash function,SHA-256,IS topic
cryptographic hash function,BLAKE2,IS topic
cryptographic hash function,password hashing,IS topic
information privacy law,EU US privacy shield,IS topic
enterprise architecture framework,Extended Enterprise Architecture Framework,IS topic
anthropogenic hazard,power outage,IS topic
legal context,tax law,IS topic
tax law,Foreign Account Tax Compliance Act,IS topic
legal context,internet regulation,IS topic
internet regulation,net neutrality,IS topic
business topic,business function,IS topic
innovation management,open innovation,IS topic
innovation management,organizational innovation,IS topic
new product development,stage-gate model,IS topic
project management,critical path method,IS topic
change management,organizational change,IS topic
price management,price discrimination,IS topic
business function,quality management,IS topic
business topic,strategic management,IS topic
strategic performance management,balanced scorecard,IS topic
business topic,corporate social responsibility,IS topic
types of work,knowledge work,IS topic
knowledge work,problem solving,IS topic
knowledge work,collaborative work,IS topic
business evaluation criteria,customer satisfaction,IS topic
IS agility,IS development agility,IS topic
IS evaluation criteria,system reliability,IS topic
data completeness,missing data,IS topic
user evaluation criteria,information technology addiction,IS topic
user evaluation criteria,information systems usefulness,IS topic
user evaluation criteria,ease of use,IS topic
user evaluation criteria,ease of learning,IS topic
user evaluation criteria,consumer behavior,IS topic
IS success,IS satisfaction,IS topic
absorptive capacity,potential absorptive capacity,IS topic
knowledge type,implicit knowledge,IS topic
organizational memory,organization learning,IS topic
platform work,platform worker,IS topic
platform work site,Catalant,IS topic
ridesharing company,Lyft,IS topic
digital business,digital product,IS topic
digital product,information good,IS topic
IS topic,gamification,IS topic
human computer interaction,user interface,IS topic
user interface,touch user interface,IS topic
human computer interaction,personalization,IS topic
IS topic,IT project,IS topic
IT project management,IT project risk management,IS topic
IT service management,system maintenance,IS topic
ITSM standard,ITIL,IS topic
IS topic,systems development,IS topic
systems development,information services development,IS topic
end user computing,user development,IS topic
systems development,system development method,IS topic
agile software development,test-driven development,IS topic
system development method,Rational Unified Process,IS topic
systems implementation,user training,IS topic
systems development,system integration,IS topic
requirements analysis,user requirement,IS topic
user requirement,user requirements specification,IS topic
requirements analysis,use case modeling,IS topic
devops,mlops,IS topic
IT planning,IT strategic planning,IS topic
information systems strategy,IT alignment,IS topic
IT governance,data governance,IS topic
information systems strategy,data management,IS topic
data management,information management,IS topic
information management,information resource management,IS topic
intellectual property,open data,IS topic
IT job,IT job market,IS topic
IT job,IT job insecurity,IS topic
IS discipline,IS discipline boundary,IS topic
IS topic,IS research,IS topic
IS research community,IS researcher,IS topic
IS research community,IS researcher production,IS topic
post positivism,critical rationalism,research paradigm
social subjectivist paradigm,structuralism,research paradigm
social subjectivist paradigm,standpoint epistemology,research paradigm
research paradigm,critical theory,research paradigm
research paradigm,Marxism,research paradigm
model element,construct,model
item scale,Likert scale,model
model element,model part,model
model element,model link,model
theoretical link,moderating effect,model
model element,research question,model
domain specific entity,geographic names,geographic names
Germany,Hesse,geographic names
Germany,Saarland,geographic names
Germany,Mecklenburg-Vorpommern,geographic names
Austria,Salzburg,geographic names
Austria,Tyrol,geographic names
Switzerland,Aargau,geographic names
Switzerland,Appenzell,geographic names
Siberia,Lake Baikal,geographic names
southeastern europe,Croatia,geographic names
southeastern europe,Romania,geographic names
China,Hong Kong,geographic names
east asia,North Korea,geographic names
southeast asia,Brunei,geographic names
southeast asia,Singapore,geographic names
southeast asia,Mekong,geographic names
South Asia,Afghanistan,geographic names
East Africa,Tanzania,geographic names
West Africa,Benin,geographic names
West Africa,Gambia,geographic names
West Africa,Cape Verde,geographic names
Central Africa,Gabon,geographic names
Central Africa,Cameroon,geographic names
Central America,Trinidad and Tobago,geographic names
Florida,Jacksonville,geographic names
United States,Illinois,geographic names
North America,Great Lakes,geographic names
South America,Brazil,geographic names
South America,Suriname,geographic names
geographic names,Australia and Oceania,geographic names
Australia,Melbourne,geographic names
Oceania,Solomon Islands,geographic names
Oceania,Vanuatu,geographic names
economic sector,government,economic sector
machinery industry and plant construction,vending machine industry,economic sector
chemical industry,pharmaceutical industry,economic sector
manufacturing industry,container construction,economic sector
manufacturing industry,defence industry,economic sector
automotive industry,motorcycle industry,economic sector
vehicle industry,aerospace industry,economic sector
metalworking industry,steel construction,economic sector
metal industry,tool manufacturing,economic sector
textile and clothing industry,leather industry,economic sector
manufacturing industry,electrical and electronics industry,economic sector
manufacturing industry,food industry,economic sector
fishing industry,fishmongers,economic sector
food industry,processing of fruits and vegetables,economic sector
food industry,food law,economic sector
insurance industry,life insurance industry,economic sector
agriculture,agricultural economics,economic sector
agricultural economics,land-use intensity,economic sector
consumer products distribution,diy retail,economic sector
consumer products distribution,textile distribution,economic sector
trade sector,trade in commodities and used materials,economic sector
trade sector,food trade,economic sector
hire and leasing industry,recruitment service,economic sector
hire and leasing industry,real estate leasing,economic sector
banking industry,commercial bank,economic sector
financial sector,pawnshop,economic sector
building construction,industrial construction,economic sector
domestic installation,plumbing,economic sector
economic sector,business service sector,economic sector
business service sector,consultancy sector,economic sector
business service sector,advertising industry and opinion polling,economic sector
sports industry,sports competition,economic sector
publishing industry,book publishing,economic sector
public utility sector,water industry,economic sector
study object,company type,study object
participant,group participant,study object
crowdsourcing of participant,Zoomerang,study object
level of analysis,micro level,level of analysis
named theory,natural sciences theory,named theory
natural sciences theory,physics theory,named theory
astronomy theory,big bang theory,named theory
theory of vision,theory of eye movement,named theory
psychological theory,positioning theory,named theory
psychological theory,regulatory mode theory,named theory
psychological theory,theory of belief updating,named theory
personality theory,big five model,named theory
personality theory,personal construct theory,named theory
cross-cultural theory,cultural dimensions theory,named theory
learning theory,cognitive transformation theory,named theory
learning theory,training engagement theory,named theory
learning theory,operant learning theory,named theory
learning theory,experiential learning theory,named theory
creativity theory,propulsion model of creativity,named theory
social psychology theory,linguistic category model,named theory
social cognitive theory,self efficacy theory,named theory
social psychology theory,reactance theory,named theory
social psychology theory,ego depletion theory,named theory
social psychology theory,self verification theory,named theory
psychological theory,information processing theory,named theory
psychological theory,illusion of control,named theory
psychological theory,cognitive theory,named theory
cognitive attention theory,cognitive load theory,named theory
visual perception theory,theory of direct perception,named theory
cognitive theory,theory of situated cognition,named theory
cognitive theory,theory-theory,named theory
sociological theory,sociocultural theory,named theory
sociological theory,resource dependency theory,named theory
sociological theory,actor network theory,named theory
sociological theory,assemblage theory,named theory
sociological theory,Bourdieu's field theory,named theory
activity theory,cultural historical activity theory,named theory
sociological theory,theory of swift trust,named theory
sociological theory,performance theory,named theory
sociological theory,boundary objects theory,named theory
sociological theory,structuration theory,named theory
economic theory,microeconomic theory,named theory
economic theory,economic search theory,named theory
economic theory,critical mass theory,named theory
economic theory,auction theory,named theory
prospect theory,cumulative prospect theory,named theory
economic theory,rational choice theory,named theory
rational choice theory,theory of rational choice under uncertainty,named theory
game theory,noncooperative game theory,named theory
theory of resistance,people-determined theory of resistance,named theory
educational theory,developmental stage theory,named theory
possibility theory,fuzzy set theory,named theory
mathematical theory,matroid theory,named theory
mathematical theory,set theory,named theory
mathematical theory,measurement theory,named theory
computer science theory,theory of information warfare,named theory
justice theory,Rawls' theory of justice,named theory
information systems theory,technology threat avoidance theory,named theory
information systems theory,cognitive absorption theory,named theory
information systems theory,structured process modeling theory,named theory
information systems theory,information systems participation theory,named theory
IT security theory,communication privacy management theory,named theory
IT security theory,value theory for personal data,named theory
expectation disconfirmation theory,complete expectation disconfirmation theory,named theory
criminal theory,social disorganization theory,named theory
financial theory,portfolio theory,named theory
consumer value theory,mean end chain theory,named theory
consumer switching theory,migration theory,named theory
leadership theory,discursive leadership theory,named theory
management theory,upper echelons theory,named theory
management theory,SERVQUAL,named theory
theory of work design,job characteristics theory,named theory
theory of work design,two-factor theory,named theory
theory of job satisfaction,range of affect theory,named theory
management theory,stakeholder theory,named theory
discrepancy theory,self-discrepancy theory,named theory
management theory,contingency theory,named theory
applied sciences theory,communication theory,named theory
media theory,media synchronicity theory,named theory
communication theory,conversation theory,named theory
communication theory,semiotic theory,named theory
linguistics theory,image schema theory,named theory
communication theory,concourse theory,named theory
communication theory,theory of communicative action,named theory
theory of humor,computer model of humor,named theory
engineering theory,structural reliability theory,named theory
engineering theory,theory of porous media,named theory
named design theory,product configuration theory,named theory
named design theory,evidence-based design,named theory
named design theory,fun theory,named theory
named design theory,triple process theory,named theory
research stage,pilot study,research stage
QDA software,CAQDAS,data analysis method
qualitative analysis,constant comparative analysis,data analysis method
qualitative content analysis,post structuralist analysis,data analysis method
qualitative comparative analysis,generalized-set qualitative comparative analysis,data analysis method
quantitative analysis tool,ArcGIS,data analysis method
quantitative analysis tool,Excel,data analysis method
Wolfram Research,Wolfram Alpha,data analysis method
deep learning,graph neural network,data analysis method
language model,pre-trained language model,data analysis method
language model,ULMFit,data analysis method
language model,XLNet,data analysis method
language model,generative pre-trained transformer,data analysis method
generative pre-trained transformer,InstructGPT,data analysis method
word embedding,GloVe,data analysis method
supervised learning,classification method,data analysis method
meta learning,meta-genetic programming,data analysis method
meta learning,fully self-referential learner,data analysis method
machine learning method,unsupervised learning,data analysis method
unsupervised learning,sequence mining,data analysis method
NLP application,information extraction,data analysis method
NLP application,part of speech tagging,data analysis method
sentiment analysis,multimodal sentiment analysis,data analysis method
NLP application,natural language generation,data analysis method
data transformation,normalization data transformation,data analysis method
normalization data transformation,logarithmic transformation,data analysis method
quantitative analysis,path analysis,data analysis method
path analysis,conditional process analysis,data analysis method
partial least squares path modeling,PLS tool,data analysis method
post analysis,robustness check,data analysis method
time series analysis,event study,data analysis method
time series analysis,Box-Jenkins method,data analysis method
time series analysis,Phillips–Perron test,data analysis method
causality analysis,Rubin causal model,data analysis method
propensity score method,inverse propensity weighting,data analysis method
quantitative analysis,econometric modeling,data analysis method
